source,target,value
"Researchers","Federal government","6945"
"Technicians","Federal government","4212"
"Support staff","Federal government","4135"
"Researchers","Provincial government","1428"
"Technicians","Provincial government","816"
"Support staff","Provincial government","445"
"Researchers","Business enterprise","86509"
"Technicians","Business enterprise","39164"
"Support staff","Business enterprise","14691"
"Researchers","Higher education","45826"
"Technicians","Higher education","6729"
"Support staff","Higher education","6449"
